Job_ID,Job_Role,Job_Company,Job_Description,URL,Date,Remote
Vej123eYZWmGAEK3AAAAAA==,Machine Learning Engineer,Qintess,"Senior Machine Learning Engineer (AI) - Remote (CLT)  We are seeking a highly skilled and experienced Senior Machine Learning Engineer to join our multidisciplinary team.  Responsibilities • Deliver ML Projects: You will own the code and be involved in building and improving data science use cases. • ML Engineering and Operations: you will research, design, and build an ML platform to sustain the full life cycle of our models. Collaboration with data engineering and architecture teams will be crucial to optimize our data consumption and model deployment in production. • Standarization: you will be at the forefront of optimizing processes and introducing standardization for various approaches in solving use cases/problems. • Data Expertise: your expertise in handling large volumes of data, extracting and manipulating datasets using Python and SQL, will greatly contribute to our success.  To excel in this role, you must have the following technical skills and qualifications: • Fluency in English. • Software Engineering: Minimum of 5 years of professional software development experience using Python and SQL. Proficiency in version control (GIT) with strong analytical and debugging skills. • Machine Learning: Minimum of 3 years of experience in machine learning modeling, creating prototypes, and evolving them into full-fledged products served in production environments. • Cloud and ML Environments: Experience in at least one cloud environment such as GCP (preferred), AWS, or other cloud data platforms. • Machine Learning Operations (MLOps): Developed CI/CD workflows using GitHub Actions and/or ML workflows using ML lifecycle tracking and deployment frameworks (e.g., MLFlow, Seldon.io, Kubeflow Pipelines, TFX). • Familiarity with GCP and Vertex.ai components (or knowledge of AI platforms from other clouds like AWS or Azure). • DevOps practices.  Desired Skills • Machine Learning Operations (MLOps): Practical experience in MLOps use cases such as: Feature Store, Model monitoring, Data and model versioning.  Benefits Valid Only For The CLT Hiring Model (Brazil).  We offer the following benefits: • Meal Voucher/Food Allowance - Alelo • Medical Assistance - Grupo Notre Dame Intermédica • Dental Care - Amil • Life Insurance • Partnerships with educational institutions • Partnerships with pharmacies • Courses and training on the Qintess EAD platform • Support for certifications • Extended maternity and paternity leave • Company-provided laptop • Internal relocation program • Referral bonus",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=Vej123eYZWmGAEK3AAAAAA%3D%3D&fpstate=tldetail,2023-11-02,Qualquer lugar
kaQtag-0IekVSepzAAAAAA==,Machine Learning Engineer,Metal Toad,"Metal Toad is an award-winning AWS Consulting Partner and AWS Managed Services provider company based in the USA. We help our customers with their cloud adoption by providing architecture, migration, optimization, machine learning, and even 24x7 support. We are a professional services firm providing services in software engineering and the cloud. We do Technical consulting, Programming & Quality Assurance, DevOps, Applications, UX, Product management, and Project management.  Metal Toad is a fully remote organization with all employees having the option to work from home. The candidate must be able to work between 8 AM and 5 PM Pacific Time (PST) from Monday through Friday.  Advanced to fluent proficiency in English is a must for our positions since it is the language we communicate at the company.  Job Description  The Machine Learning Engineer position at Metal Toad works with a team to create Enterprise-grade applications. In addition, you will also be helping to educate clients on Machine Learning life cycle, best practices, and MLOps.  Responsibilities  Planning • Able to adapt to a dynamic and collaborative work environment, make decisions and communicate them effectively. • Review and confirm data requirements for projects are called out, along with any risks associated with data quality. • Designs data pipelines and Model deployment strategies to help reach clients' requirements. • Provides estimates with the team based on requirements data and architecture diagrams. • Breaks down complex Machine Learning concepts for nontechnical clients.  Development • Own project success by proactively communicating risks, known issues, and changelogs. • Contribute to all phases of the development lifecycle. • Work as part of a team. • Code conforms to best practices. • Appreciate the value of well-tested code. • Perform peer code reviews. • Create projects that are free of major defects. • Maintain a positive and respectful tone in all interactions.  Expertise • Research new libraries, techniques, and ideas. • Review new developments in Machine learning technology and Amazon services. • Interested in publishing blog posts showing technical expertise. • Enhances organization's reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments.  Qualifications  Required • Agree with our Corporate Values Statement. • Believes in the company mission: to help people • Believes in the principles of open source. • Experience with or knowledge of the following technologies: • 5+ years of development using Python or a similar object-oriented language • 3+ years of experience in Machine Learning • JSON usage • Using package managers such as npm or pip • Using Git for source control. • Experience using Jupyter Notebooks. • Data transformation and query languages. • Familiarity with IaC • Have or be able to complete AWS Machine learning certification within 90 days  Nice to have • AWS services and serverless patterns • AWS Certifications • Using Terraform for IaC • Common data structures and algorithms",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=kaQtag-0IekVSepzAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,Qualquer lugar
EvEdhZ6q7G5iyNqEAAAAAA==,Machine Learning Engineer,Clara,"Clara is the leading spend management platform for companies in Latin America. Our end-to-end solution includes our locally-issued corporate cards, a Bill Pay product, financing solutions, and our highly-rated software platform; already being used by thousands of the most successful companies across the region.  Clara is backed by top global and regional investors such as GGV Capital, Coatue, DST Global Partners, General Catalyst, monashees, Acrew Capital, Kaszek, Citius, Canary, Citi Ventures, Picus Capital, Avid Ventures, ICONIQ Growth, Endeavor Catalyst, Goldman Sachs, Accial Capital, and prominent angel investors.  CLARA's Data Team is looking for a highly professional and experienced Machine Learning (ML) Engineer to join us and take an active role in the ML -data architectural design alongside our teams of data engineers and data scientists to create, deploy and maintain complex ML systems and services with the responsibilities and challenges that accompanies an environment like this.Responsibilities  Your primary focus will be to develop data pipelines for ML, design, implement and deploy the ML models and infrastructure, improve existing processes, and create data models. You will also be responsible for the maintenance and operation of all these models and data pipelines, and collaborate with other teams in order to provide high-quality and fast-delivery ML models for the company.The main challenges and responsibilities you will face are: • Build, integrate and maintain ML feature data pipelines following reliability, scalability, and maintainability principles. • Deploy, monitor, and operate ML model lifecycle (ML Ops). • Collaborate with data scientists in the implementation of ML models. • Ensuring and monitoring the data quality, and understanding/resolving any issue detected. • Consume data from Data Vaults and Star Schema lakehouse. • Be able to collaborate with teams remotely, not only locally. • Stay up to date with the latest technologies and look for ways to implement them. • Collaborate with our data scientists and data engineers to better understand their requirements and meet the company's goals. • Document your work to have a solid foundation of it for new team members or future references. • Code review and peer programming activities. • Enforce team best practices and DevOps as a culture within the team. • Enforce Data Security and Data Privacy best practices.  Our requirements for this position are: • Proficiency in Python and SQL. • ML Algorithms experience, both theoretical and practical. • Experience with CI/CD tools (GitHub Actions, GitLab CI, Jenkins, etc.). • Experience using Github flow. • Docker container experience. • Experience implementing the feature store paradigm. • Experience deploying streaming ML models with common ML frameworks (e.g. xgboost, scikit-learn, catboost). • High-level understanding of Distributed Systems, and Spark Architecture. • Experience integrating data from Databases, APIs, and Event Streams (kinesis, kafka). • Experience developing complex data pipelines (ETL/ELT) with orchestration tools (e.g. Apache Airflow, AWS Glue Workflow, AWS Step Functions, etc.) • Experience with AWS services: Redshift, Glue, Sagemaker, Lambda, Athena, S3, Kinesis. Or other cloud equivalent services. • Experience with big data technologies and frameworks (e.g. (py)Spark, Scala, Hive, Kafka, etc.)  Nice to have: • Databrick platform usage and administration • MLflow  The way we do things is as important as what we do. That is why we operate on a set of carefully-identified values. They are what we expect from ourselves and each other in our day-to-day.  We value • Clarity - Open and direct communication • Simplicity - Pare things down to the essential • Ownership - We're all owners and act like it • Pride - Make quality products we're proud of • Always Be Changing (ABC) - Continuous self-improvement • Inclusivity - Every voice counts; we value each other for our shared mission and contributions  We are • Shaping business finances in Latin America • Driven by our 6 core values • Proud of our inclusive and caring culture • Certified as Top LinkedIn Startup  We offer • Competitive salary & a robust stock ownership plan • 100% flexible work model • A set of benefits that are adaptable to your needs & way of life • Opportunities for growth in a fast-paced environment • A chance to shape B2B payments in Latin America and increase the region's economic competitiveness",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=EvEdhZ6q7G5iyNqEAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,Qualquer lugar
uxBXQGrM9mNQGX1RAAAAAA==,Machine Learning Engineer,BAIRESDEV,"Who we are  BairesDev is proud to be the fastest-growing company in America. With people on five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects. We are looking for an outstanding Machine Learning Engineer to join our team. This professional will use data and machine learning techniques to help the business automate and scale decision-making, mainly by producing advanced data analysis reports and data-based models to infer and predict patterns.  What You Will Do:  - Help to improve data literacy and the overall analytical environment across the company. - Handle both structured and unstructured data using SQL and other programming languages. - Perform advanced data analysis and report results. - Tell the story behind data in a compelling manner for business people. - Build predictive models and machine-learning algorithms. - Combine models through ensemble modeling. - Propose solutions and strategies to business challenges. - Help to design and execute experiments for hypothesis testing. - Participate actively in discussions and decisions regarding the whole Machile Learning / Data Science chapter. - Collaborate with data product managers to build awesome data products. - Work with management to prioritize business and information needs. - Help to spread a data-driven mindset and to improve data literacy. Be a data evangelist. Here's what we're looking for:  - 3+ years of experience with Machine Learning, data science, IA, statistical, and other related areas. - Proficiency with MySQL. - Proficiency in Python, R, or another major programming language. - Excellent communication skills, and capacity to collaborate and build relationships with non-technical users. - Strong knowledge of probability and statistics, including experimental design, predictive modeling, optimization, and causal inference. - Hands-on experience with machine learning, like regression classification, clustering, neural networks, feature selection, cross-validation, the curse of dimensionality, bias-variance tradeoff, model explainability, NLP, etc.  Desirable: - Experience with people analytics or growth. - Experience with data visualization tools. - Good understanding of the engineering challenges to deploying machine learning systems to production. How we do make your work (and your life) easier:  - 100% remote work. - Hardware setup for you to work from home. - Flexible hours - make your schedule. - Paid parental leave, vacation & holidays. - Diverse and multicultural work environment. - An innovative environment with the structure and resources of a leading multinational. - Excellent compensation ? well above the market average. - Here, you can grow at the speed of your learning curve. Our people work remotely with a consistent and robust culture promoting diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.  Every BairesDev team member brings something unique to our company.  We want to hear your story. Apply now",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=uxBXQGrM9mNQGX1RAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,"São Bernardo do Campo, SP (+35)"
9YGEEf80kvg953cPAAAAAA==,Machine Learning Engineer,Ranger Technical Resources,"Data Engineer/Machine Learning Engineer Position Summary: Our partner is looking for a savvy Data Engineer/Machine Learning Engineer to join a cutting-edge development team and develop top of the industry fintech applications partnering with quantum teams and Data Science teams! In this role you play a crucial role in designing, building and maintaining data pipelines that enable efficient data processing, storage, and analysis. You will be a part of a team that’s building innovative analytical tools and frameworks to exploit advantages in the latest fintech developments in cloud computing. Finally, you will be a crucial part in shaping future highly functional applications to deliver successful high quality, and sustainability of solutions. Experience and Education: BS in Computer Engineering or Computer Science, Statistics, Informatics or related experience/field 5+ years of experience with data management, data management tools and data quality Strong understanding of machine learning concepts, algorithms, and deep learning architectures Experience managing data streams with varied files format such as EDI, XML, Flat Files, others Familiar with stream-processing systems: Apache Kafka, Spark-Streaming, others Technology Skills and Strengths: Kafka Airflow Spark Python AWS AWS services (S3, AWS Lambda, AWS Glue, others) Data warehousing Data pipelines Data architecture Data management Data security ETL processes Machine Learning operations (MLOps) ML model evaluation and optimization Metadata dependency Workload management SQL and NoSQL DB (such us NumPy, Pandas, MongoDB, others) SQL (development, implementation and optimization) Automation (Terraform, ARM Template) LifeCycle Data Development API (development and integration) Distributed Data Processing User stories Databricks (a plus) Kubernetes (a plus) Primary Job Responsibilities: Create and maintain an optimal data pipeline architecture to move, transform, and cleanse datafrom various sources into the correct data storage or processing systems Design, develop and implement data packages for data warehousing or applications Integrate data from various sources, both structured and unstructured, including databases, APIs, logs, and external datasets Design, develop, and fine-tune machine learning models, including supervised, unsupervised, and deep learning models Collect, clean, and preprocess data for model training, ensuring data quality and integrity Deploy machine learning models into production environments, ensuring scalability and reliability. Work with a team of developers with deep experience in data, distributed microservices, and full stack systems Work with data management, data access (big data, data marts, etc.), programming, and data modeling; and familiar with analytic algorithms and applications Provide technical support and problem resolution for related data service teams Architect, deploy and maintain data models and schema to support analytics and reporting requirements Develop and test scripts and exception handling processes based upon design Create and maintain technical documentation to support the business application and data related processes Troubleshoot to resolve operational and/or system problems",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=9YGEEf80kvg953cPAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,"São Paulo, SP"
P4mFEIGRZq3NV_dHAAAAAA==,Machine Learning Engineer,Qintess,"Responsibilities • Deliver ML projects: Own the code, build and improve data science use cases in multidisciplinary teams, from idea to code in production. This role will be on the cutting edge of our Data / Machine Learning platform. As we push to solve more of our ML/AI challenges, you will be prototyping new features, tools and ideas. Innovate at a very fast pace to maintain our competitive edge • ML engineering and operations: Research, design and build a ML platform that will sustain all our models’ full life cycle. Interact with data engineering and architecture teams to execute and optimize the way we consume data and deploy models in production. Roadmap includes feature store, model monitoring and other MLOps concepts • Standardization: You will be fully involved in optimization of several processes, coming up with standardization for various approaches in solving use cases/problems and making sure that multiple projects are following the defined frameworks • Data expertise Work with large volumes of data; extract and manipulate large datasets using tools such as Python and SQL. Leverage a state-of-the-art ML platform to train and deploy models. Promote scalability, reliability and efficiency across projects  Core skills • Software engineering: You have 5+ years of professional software development experience using Python and SQL using version control (GIT), with good analytical & debugging skills. You have used automatic code analysis and formatting tools. You are fluent in writing tests and documenting your code along the way. • Machine Learning: You have 3+ years of experience with machine learning modeling, creating prototypes and evolving them into full-fledged products that are served in production environments. Knowledge about methods such as classification, regression, time series, NLP, anomaly detection, clustering and other common ML tools. • Cloud and ML Environments: You have worked in at least one cloud environment like GCP (preferred), AWS or other cloud data platforms. Understanding of different cloud components to build ML solutions (Seldon.io, Kubeflow, Vertex AI or similar) • Machine learning operations (MLOps) – you have developed CI/CD workflows using GitHub Actions and/or ML workflows using ML lifecycle tracking and deployment frameworks (like MLFlow, Seldon.io, Kubeflow Pipelines, TFX).  Desired skills • Machine learning operations (MLOps): Practical experience in MLOps use cases such as: Feature Store, Model monitoring, Data and model versioning  core skills que precisamos são:  GCP e Vertex.ai components (ou pelo menos conhecimento da plataforma de AI de outras clouds como AWS ou Azure)  Kfp (Kubeflow pipelines)  CI/CD  Python/SQL e devops practices",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=P4mFEIGRZq3NV_dHAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,Qualquer lugar
9yjlltPbHY2RjmF5AAAAAA==,Machine Learning Engineer,Netvagas,Senior Machine Learning Engineer (AI) - Remote (CLT)We are seeking a highly skilled and experienced Senior Machine Learning Engineer to join our multidisciplinary team.Responsibilities:Deliver ML Projects: You will own the code and be involved in building and improving data science use cases.ML Engi...,https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=9yjlltPbHY2RjmF5AAAAAA%3D%3D&fpstate=tldetail,2023-11-02,Qualquer lugar
x-9rT0XekeeHY-PbAAAAAA==,Machine Learning Engineer,Loft,"**Viramos a chave para realizar o sonho do lar ideal** Olá, sou a Loft. Nasci de uma virada de chave, que busca tornar o mercado imobiliário mais fluido, seguro e menos burocrático. Por isso, hoje sou a plataforma digital que utiliza tecnologia e trabalho em equipe das pessoas mais incríveis que encontramos, para descomplicar o sonho do novo lar, em qualquer momento da vida. Esse é o nosso propósito: Freedom Living, e nós queremos levar para mais pessoas possíveis. Você aceita esse desafio?  Mas antes, olha o que essa virada de chave nos proporcionou:  - Nascemos em 2018, em São Paulo e já contamos com um time de mais de 1.000 pessoas Lofters espalhadas pelo Brasil; - Temos importantes investidores globais em capital de risco, incluindo a Andreessen Horowitz, a Fifth Wall, a Thrive Capital, QED Investors e a Monashees que acreditaram em nosso potencial desde o início; - Com apenas 3 anos de história, fomos reconhecidos por 3 vezes consecutivas como uma das startups mais desejadas para se trabalhar, pelo LinkedIn; - Somos a startup brasileira mais rápida a se tornar unicórnio, em apenas 16 meses.  Deu pra sentir como as coisas correm por aqui, né? É sobre pessoas, resultados e impacto. E continuamos buscando talentos que aceitem esse desafio com a gente. Sentiu que o nosso jeito combina com o seu? Fique à vontade para entrar. Sua virada de chave está aqui • *Os desafios que você vai encontrar**:  - Atuar, com autonomia, no desenvolvimento de ferramentas e apoio aos times de Cientistas de Dados no ciclo de vida dos modelos. - Desenvolver soluções canônicas que permitam que data-scientists foquem no contexto em que lhes trouxe à Loft, tornando opcional lidar com complexidade de software e/ou infraestrutura ao realizar operações como ETL, desenvolvimento, experimentação, deploy e monitoramento. • *O que você precisa para virar a chave?** - Sólido conhecimento em programação. - Conhecimento de Infraestrutura (redes, proxy, observabilidade, Linux, banco de dados, etc). - Experiência em integração e configuração de serviços Cloud e Infra-as-code. - Experiência prévia em soluções de MLOps pode ser um diferencial no decorrer do processo. - Gostar de trabalhar em um ambiente onde colaboração, compartilhamento de conhecimento e autonomia são levados a sério; - Querer participar da construção de uma startup de ponta que desafia o status quo. • *O que você vai encontrar ao abrir a porta?** Além dos desafios para potencializar sua carreira, aqui dentro você também vai encontrar benefícios que te dão autonomia e segurança para gerenciar sua rotina e entregas:  - Freedom Living at Work (FLOW) (Opções de trabalho - escolhido junto à liderança) - Full remote - 1x a 2x por ano presencialmente - Flex - 1x a 2x por semana presencialmente - Office based - 3x ou mais por semana presencialmente - Benefício educação: valor para você escolher onde investir em cursos, livros, congressos que te desenvolvam profissionalmente e te ajudem a potencializar sua carreira; - Plano de saúde; - Plano odontológico; - Seguro de vida; - Auxílio-creche; - Birthday-off - Férias flexíveis; - Licença Parental: Para potencializar nosso ambiente seguro, oferecemos essa licença de 6 meses estendida para mães e pais; - Gympass: programa de academias e de cuidado com a saúde mental; - VT de acordo com a política da Loft; - Loft Flex: temos flexibilidade com o saldo de refeição, auxílio home office e seu plano de saúde também pode ser flexível",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=x-9rT0XekeeHY-PbAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,"São Paulo, SP"
sh6-1yiergC4tBEGAAAAAA==,Machine Learning Engineer,Rappi,"Rappi is one of the first Latin American unicorns and a start-up that continues to focus on growing and making life easier for our users. As a company, we seek to continue improving the services we already offer, add more to our offer and continue expanding throughout the Latin American continent.  The Company  Rappi is the fastest growing Latin American startup ever! Backed by the world's best investors, including Sequoia, Andreesen Horowitz, Y Combinator, DST Capital, and Softbank. We reached unicorn status last year and haven't slowed down. We deliver whatever our customers want on-demand to their doorstep in minutes, from restaurants to groceries to hard cash. We have also recently launched a wallet and eCommerce products which are taking off quickly to become the SuperApp of LatAm. We operate in 100+ cities across 9 countries in Latin America, with large hubs in Mexico City, Bogotá, Sao Paulo, and Buenos Aires.  Our Values  These are our Core Values, things that are truly in our DNA. The behaviors and mental habits that have made us what we are. They are what make us special as a team and what all of you guys share. Please think if you feel at home when you read them.1. Highly ambitious for the greater good, not for ourselves.2. Beautiful work makes people smile, so it's not optional.3. Talk fast, walk fast, think fast. And execute things in parallel.4. Move the needle. (Prioritize) Every challenge is a gift and an opportunity .5. We never complain, we act. We use our curiosity to fix things.6. We deliver magic, and magic only happens when you jump off a cliff.  The Team  We are the OpsTech department, responsible for developing cutting-edge technology applied to the operation. We manage the logistics of the company applying technical and business knowledge. Some of our ongoing projects are:- Courier (offer) spatial and temporal distribution.- Demand in-app guidance.- Order matching (assignment) and bundling.- Vehicle routing.- Operation simulation.- Time and routing estimations (ETA's, transportation directions).- Geographical clustering.  Please make sure you fulfill the following requirements to apply for this position. We are excited to work with you!  What will you do • Design, train, deploy and maintain supervised models using the best tool for the job • Implement ETL's and data pipelines for feature creation and model diagnostic. • Design experiments and interpret the results to draw detailed and actionable conclusions • Collaborate across teams from different disciplines such as sales, marketing, engineering and operations.  What you have • Quantitative background in statistics, computer science, physics, math or other technical field. • Experience in machine learning algorithms and libraries such as scikit-learn, xgboost, tensorflow, keras or pytorch. • Experience in coding professionally(at least one year) in a dynamically typed language Python, R, etc and/or in a static typed language Java, C#, etc • Experience working with relational databases - MySQL, Postgres, etc and proficiency in SQL • Experience with no relational databases such as Mongodb, Redis, etc. • Have strong problem-solving skills and like to work in complex problems • Have a startup mindset",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=sh6-1yiergC4tBEGAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,"São Paulo, SP"
nOM7B3IX0SPy0WGqAAAAAA==,Machine Learning Engineer,Fraudio,"At Fraudio (Permanent), in Lisbon, Portugal  Expires at : 2023-12-04  Remote policy : Full remote  If you are passionate about leveraging machine learning to combat payment fraud and have the skills and experience we seek, we encourage you to apply and join our Lisbon squad focused on payment fraud detection.  Help us protect businesses and consumers from financial fraud while driving innovation in fraud detection!  As a Machine Learning Engineer at Fraudio, you will be pivotal in designing, developing, and implementing machine learning models and algorithms to detect and prevent payment fraud.  Why Fraudio?  About Us : We developed a sophisticated centralised data solution that uses AI and machine learning to fight real-time fraud via a straightforward, plug-and-play product.  Impact : Be part of the fight against financial crime, tackling intriguing and impactful tasks.  Flexibility : Work remotely in Portugal with flexible arrangements; annual in-person company events for a change of scenery.  Learning : Collaborate with industry experts and enjoy professional growth opportunities.  Rewards : Competitive compensation, 5 weeks of paid leave per year, and Employee Share Option Plan.  Diversity : Fraudio welcomes all backgrounds and champions inclusivity.  Team : We're a diverse, transparent, and honest bunch - ask us anything! We prioritise fun and enjoy virtual team events and other social gatherings catering to various interests and hobbies.  If you want to know what it's like to work at Fraudio, listen to this podcast with COO and Co-Founder Nathan on Fraudio's culture and approach to remote work.  Location : • Remote-first with the option for in-person collaboration in Lisbon. • Applicants from anywhere living and working in Portugal. • EU nationals willing to relocate to Portugal or Brazilians ready to make the move (visa sponsorship provided). • Please note, that if your situation doesn't fit the above, we won't be able to consider your application.  Your Missions, Should You Accept :  Algorithm Development : Develop and implement machine learning models and algorithms for payment fraud detection, including supervised and unsupervised learning techniques.  Automation : Collaborate on the automation of machine learning model training and deployment.  Feature Engineering : Identify and engineer relevant features to improve model performance and accuracy in detecting fraudulent transactions.  Model Training and Evaluation : Train, fine-tune, and evaluate machine learning models using appropriate metrics, ensuring high accuracy and low false positive rates.  Continuous Improvement : Stay up-to-date with the latest machine learning and fraud detection techniques and advancements.  Continuously improve existing models and develop new ones to adapt to evolving fraud patterns.  Collaboration : Work closely with cross-functional teams, including data scientists, software engineers, and domain experts, to integrate machine learning solutions into our fraud detection system.  Deployment : Collaborate on deploying machine learning models into production, ensuring scalability and efficiency.  Monitoring and Maintenance : Implement tools and procedures to track model performance in real-time and promptly address any issues.  Main requirements  Technical Requirements : • You have a Master's or PhD in Computer Science, Data Science, Machine Learning, or a related field. • You have 5+ years of proven experience as an ML Engineer or Data Scientist, with a focus on fraud detection or related fields. • You love coding in Python and / or Scala and are proficient in machine learning libraries like TensorFlow, PyTorch, or sci-kit-learn. • You have experience with data preprocessing, feature engineering, and model evaluation. • You understand statistical and machine learning techniques, including supervised and unsupervised learning.  Business Orientation : • You are detail-oriented but can also quickly shift priorities if required. • You have solid presentation skills and can communicate to a wide variety of audiences. • You enjoy working collaboratively in a cross-functional & distributed team environment.  Nice to have • You are familiar with big data technologies (e.g., Spark, Hadoop) is a plus. • You have experience with containers and container orchestration, e.g. with Docker, Kubernetes, and Kubeflow is a plus.  Benefits & Perks • You'll be an early member of a growing startup, rubbing shoulders with top-tier data professionals, a strong founding team, and visionary VCs; • You'll contribute to the ﬁght against financial crime by working on interesting and challenging tasks; • You will be working fully remotely and have ﬂexible working arrangements; • We love meeting in person, too! Join us at company events - we all meet in person at least once a year; • Enjoy 5 weeks of paid leave per year;  You'll have the chance to participate in our Employee Share Option Plan (ESOP).  Come join us, and let's redefine fintech together",https://www.google.com/search?q=Machine+Learning+Engineer+jobs&ibp=htl;jobs#htivrt=jobs&htidocid=nOM7B3IX0SPy0WGqAAAAAA%3D%3D&fpstate=tldetail,2023-11-02,"São Paulo, SP"
